id,room_id/id,noted_date,temp,out/in
__export__.temp_log_196134_bd201015,Room Admin,08-12-2018 09:30,29,In
__export__.temp_log_196131_7bca51bc,Room Admin,08-12-2018 09:30,,In
__export__.temp_log_196127_522915e3,Room Admin,08-12-2018 09:29,41,Out
__export__.temp_log_196128_be0919cf,Room Admin,08-12-2018 09:29,41,Out
__export__.temp_log_196126_d30b72fb,Room Admin,08-12-2018 09:29,31,In
__export__.temp_log_196125_b0fa0b41,Room Admin,08-12-2018 09:29,31,In
__export__.temp_log_196121_01544d45,Room Admin,08-12-2018 09:28,29,In
__export__.temp_log_196122_f8b80a9f,Room Admin,08-12-2018 09:28,29,In
__export__.temp_log_196111_6b7a0848,Room Admin,08-12-2018 09:26,29,In
__export__.temp_log_196112_e134aebd,Room Admin,08-12-2018 09:26,29,In
__export__.temp_log_196108_4a983c7e,Room Admin,08-12-2018 09:25,42,Out
__export__.temp_log_196108_4a983c7e,Room Admin,08-12-2018 09:25,42,Out
__export__.temp_log_196101_d5ec7633,Room Admin,08-12-2018 09:24,29,In
__export__.temp_log_196099_3b8ef67b,Room Admin,08-12-2018 09:24,29,In
__export__.temp_log_196095_788b2c27,Room Admin,08-12-2018 09:22,29,In
__export__.temp_log_196096_eafb59b6,Room Admin,08-12-2018 09:22,29,In
__export__.temp_log_196094_38501388,Room Admin,08-12-2018 09:21,41,Out
__export__.temp_log_196093_f0b3b649,Room Admin,08-12-2018 09:21,41,Out
__export__.temp_log_196090_b5f7ca9c,Room Admin,08-12-2018 09:20,29,In
__export__.temp_log_102913_55fb2764,Room Admin,04-11-2018 10:31,33,In
__export__.temp_log_124876_198cc352,Room Admin,04-11-2018 10:19,32,In
__export__.temp_log_136391_aa6cb1b2,Room Admin,04-11-2018 10:11,33,In
__export__.temp_log_111889_3b4739d7,Room Admin,04-11-2018 10:09,32,In
__export__.temp_log_100607_aac4fe91,Room Admin,04-11-2018 10:07,33,In
__export__.temp_log_153912_a804d7a2,Room Admin,04-11-2018 10:05,48,Out
__export__.temp_log_147864_7949d37c,Room Admin,04-11-2018 10:03,47,Out
__export__.temp_log_141050_fe201f30,Room Admin,04-11-2018 10:01,33,In
__export__.temp_log_141484_11d89e8f,Room Admin,04-11-2018 09:59,48,Out
__export__.temp_log_134621_2855def6,Room Admin,04-11-2018 09:59,33,In
__export__.temp_log_120045_2444813e,Room Admin,04-11-2018 09:57,33,In
__export__.temp_log_103583_721794b0,Room Admin,04-11-2018 09:55,47,Out
__export__.temp_log_92570_2bed2a4e,Room Admin,04-11-2018 09:43,33,In
__export__.temp_log_123469_70a8ab22,Room Admin,04-11-2018 09:41,32,In
__export__.temp_log_131873_a2fb85fc,Room Admin,04-11-2018 09:31,48,Out
__export__.temp_log_93350_e08a930c,Room Admin,04-11-2018 09:25,32,In
__export__.temp_log_93817_507441d7,Room Admin,04-11-2018 09:23,47,Out
__export__.temp_log_107381_55c5c592,Room Admin,04-11-2018 09:21,46,Out
__export__.temp_log_131041_e4455e32,Room Admin,04-11-2018 09:19,45,Out
__export__.temp_log_130883_0b7878b5,Room Admin,04-11-2018 09:17,46,Out
__export__.temp_log_88405_5cca3e8c,Room Admin,04-11-2018 09:15,48,Out
__export__.temp_log_147017_b61e2e04,Room Admin,04-11-2018 09:13,49,Out
__export__.temp_log_141531_161116bb,Room Admin,04-11-2018 09:11,48,Out
__export__.temp_log_151872_226edabb,Room Admin,04-11-2018 09:09,49,Out
__export__.temp_log_154776_1666b300,Room Admin,04-11-2018 08:48,33,In
__export__.temp_log_105709_4ae94ac0,Room Admin,04-11-2018 08:47,48,Out
__export__.temp_log_100173_22153578,Room Admin,04-11-2018 08:46,32,In
__export__.temp_log_114358_71ef2542,Room Admin,04-11-2018 08:40,33,In
__export__.temp_log_130918_b6a5d67c,Room Admin,04-11-2018 08:38,33,In
__export__.temp_log_88462_79c94e32,Room Admin,04-11-2018 08:36,32,In
__export__.temp_log_121493_e110136b,Room Admin,04-11-2018 08:33,47,Out
__export__.temp_log_133074_f3772c1b,Room Admin,04-11-2018 08:32,33,In
__export__.temp_log_138739_6c8b4d95,Room Admin,04-11-2018 08:31,48,Out
__export__.temp_log_133644_32fff569,Room Admin,04-11-2018 08:30,32,In
__export__.temp_log_148743_1e537f5c,Room Admin,04-11-2018 08:26,33,In
__export__.temp_log_118572_6c8e9231,Room Admin,04-11-2018 08:25,49,Out
__export__.temp_log_107978_3529bee9,Room Admin,04-11-2018 08:24,32,In
__export__.temp_log_90825_b030819a,Room Admin,04-11-2018 08:21,48,Out
__export__.temp_log_113941_0ff0d26a,Room Admin,04-11-2018 08:20,33,In
__export__.temp_log_126253_bc677cc8,Room Admin,04-11-2018 08:17,47,Out
__export__.temp_log_124743_43dba925,Room Admin,04-11-2018 08:16,32,In
__export__.temp_log_114018_161bcd86,Room Admin,04-11-2018 08:14,33,In
__export__.temp_log_92596_3e975cbf,Room Admin,04-11-2018 08:12,32,In
__export__.temp_log_96467_1925103b,Room Admin,04-11-2018 08:10,33,In
__export__.temp_log_113559_d032edce,Room Admin,04-11-2018 08:08,32,In
__export__.temp_log_100715_de2bb860,Room Admin,04-11-2018 08:04,33,In
__export__.temp_log_133411_f97f7090,Room Admin,04-11-2018 08:02,32,In
__export__.temp_log_142880_7e977b19,Room Admin,04-11-2018 08:00,33,In
__export__.temp_log_136146_615ff90b,Room Admin,04-11-2018 07:58,33,In
__export__.temp_log_142896_013472d5,Room Admin,04-11-2018 07:54,32,In
__export__.temp_log_147815_696dbb27,Room Admin,04-11-2018 07:52,33,In
__export__.temp_log_86525_78b5a9b6,Room Admin,04-11-2018 07:49,48,Out
__export__.temp_log_127750_78de0e9a,Room Admin,04-11-2018 07:47,47,Out
__export__.temp_log_114326_d9fedc49,Room Admin,04-11-2018 07:31,48,Out
__export__.temp_log_128590_7ffe6312,Room Admin,04-11-2018 07:22,32,In
__export__.temp_log_122979_7d8fd5a9,Room Admin,04-11-2018 07:03,47,Out
__export__.temp_log_129454_65f77440,Room Admin,04-11-2018 07:00,32,In
__export__.temp_log_150060_ed6ce70a,Room Admin,04-11-2018 06:59,48,Out
__export__.temp_log_126703_e9e73c3f,Room Admin,04-11-2018 06:52,32,In
__export__.temp_log_89330_19d90003,Room Admin,04-11-2018 06:50,32,In
__export__.temp_log_88073_3d3bda20,Room Admin,04-11-2018 06:48,32,In
__export__.temp_log_124003_0cdb54b2,Room Admin,04-11-2018 06:45,47,Out
__export__.temp_log_148068_5828f8c1,Room Admin,04-11-2018 06:40,32,In
__export__.temp_log_103767_ddcbf981,Room Admin,04-11-2018 06:39,46,Out
__export__.temp_log_126110_4912088e,Room Admin,04-11-2018 06:38,32,In
__export__.temp_log_91074_830f8194,Room Admin,04-11-2018 06:37,47,Out
__export__.temp_log_149343_ad72cf53,Room Admin,04-11-2018 06:36,32,In
__export__.temp_log_130096_e7d1f9be,Room Admin,04-11-2018 06:32,32,In
__export__.temp_log_90468_40be633e,Room Admin,04-11-2018 06:31,46,Out
__export__.temp_log_111794_47d1cd38,Room Admin,04-11-2018 06:28,32,In
__export__.temp_log_137137_9c7ee827,Room Admin,04-11-2018 06:26,31,In
__export__.temp_log_100685_ce363f4c,Room Admin,04-11-2018 06:25,47,Out
__export__.temp_log_130155_3a7a4a80,Room Admin,04-11-2018 06:24,32,In
__export__.temp_log_122588_e7550c1e,Room Admin,04-11-2018 06:22,32,In
__export__.temp_log_106552_94681423,Room Admin,04-11-2018 06:18,32,In
__export__.temp_log_138187_f99dafa8,Room Admin,04-11-2018 06:14,31,In
__export__.temp_log_136274_8fe7ecf9,Room Admin,04-11-2018 06:12,32,In
__export__.temp_log_122882_f8582b76,Room Admin,04-11-2018 06:10,31,In
__export__.temp_log_129918_7cbd76ee,Room Admin,04-11-2018 06:06,32,In
__export__.temp_log_134991_ff9c1539,Room Admin,04-11-2018 06:04,31,In
__export__.temp_log_148145_8b72cfb7,Room Admin,04-11-2018 06:02,32,In
__export__.temp_log_90131_c2d4d1b2,Room Admin,04-11-2018 06:00,31,In
__export__.temp_log_94476_4fb1f6c4,Room Admin,04-11-2018 05:58,32,In
__export__.temp_log_91753_3d2ed02f,Room Admin,04-11-2018 05:56,32,In
__export__.temp_log_122155_1c2c7e61,Room Admin,04-11-2018 05:54,32,In
__export__.temp_log_99328_e49edcb0,Room Admin,04-11-2018 05:53,46,Out
__export__.temp_log_145460_007e3d44,Room Admin,04-11-2018 05:52,31,In
__export__.temp_log_99348_be385ced,Room Admin,04-11-2018 05:50,32,In
__export__.temp_log_151629_5fa102de,Room Admin,04-11-2018 05:48,31,In
__export__.temp_log_108422_c3a9b733,Room Admin,04-11-2018 05:47,46,Out
__export__.temp_log_110132_8d2e18ee,Room Admin,04-11-2018 05:46,31,In
__export__.temp_log_126132_b78a4b10,Room Admin,04-11-2018 05:44,31,In
__export__.temp_log_96443_9c500f06,Room Admin,04-11-2018 05:42,32,In
__export__.temp_log_153895_6ae625ac,Room Admin,04-11-2018 05:36,31,In
__export__.temp_log_122467_7df6d756,Room Admin,04-11-2018 05:34,31,In
